Appellation officielle,Dénomination principale,Secteur Public/Privé,Code postal,lat,lon
Ecole primaire Jarnac Champagne,ECOLE PRIMAIRE PUBLIQUE,Public,17520,45.55763301527479,-0.40519961978527586
Ecole élémentaire Le Treuil des Filles Lagord,ECOLE ELEMENTAIRE PUBLIQUE,Public,17140,46.18303783337932,-1.157910059626664
Ecole maternelle Loix,ECOLE MATERNELLE PUBLIQUE,Public,17111,46.22396618693408,-1.4380096506084388
Ecole maternelle Médis,ECOLE MATERNELLE PUBLIQUE,Public,17600,45.642687628112014,-0.9661705246315511
Ecole élémentaire Corme Ecluse,ECOLE ELEMENTAIRE PUBLIQUE,Public,17600,45.63003669602425,-0.8557697197542786
Ecole élémentaire Coux,ECOLE ELEMENTAIRE PUBLIQUE,Public,17130,45.31229472966008,-0.40392996918471574
Ecole primaire J.G. Belloteau Epargnes,ECOLE PRIMAIRE PUBLIQUE,Public,17120,45.54123203465822,-0.8053802776382302
Ecole élémentaire Chemin Blanc Esnandes,ECOLE ELEMENTAIRE PUBLIQUE,Public,17137,46.2496632191881,-1.1149994083666148
Ecole élémentaire Etaules,ECOLE ELEMENTAIRE PUBLIQUE,Public,17750,45.73348937263998,-1.1003003953465735
Ecole élémentaire Ferrières,ECOLE ELEMENTAIRE PUBLIQUE,Public,17170,46.226273405256656,-0.8639897797593997
Ecole maternelle Geay,ECOLE MATERNELLE PUBLIQUE,Public,17250,45.87029473837972,-0.765750030478886
Ecole élémentaire Genouillé,ECOLE ELEMENTAIRE PUBLIQUE,Public,17430,46.02234035713333,-0.7834901287350001
Ecole primaire Clérac,ECOLE PRIMAIRE PUBLIQUE,Public,17270,45.18114146814499,-0.22847985109392954
Ecole élémentaire Lucette Bouyer La Clisse,ECOLE ELEMENTAIRE PUBLIQUE,Public,17600,45.73417679363798,-0.7558912824873223
Ecole élémentaire Prévert-Ferry Aytré,ECOLE ELEMENTAIRE PUBLIQUE,Public,17440,46.13488142035117,-1.1166094064892798
Ecole maternelle Bois,ECOLE MATERNELLE PUBLIQUE,Public,17240,45.489412456945466,-0.5992797613680546
Ecole élémentaire Boresse et Martron,ECOLE ELEMENTAIRE PUBLIQUE,Public,17270,45.27217220053479,-0.1138801855200256
Ecole maternelle Saint Pallais Saintes,ECOLE MATERNELLE PUBLIQUE,Public,17100,45.74495698876963,-0.6250195525034251
Ecole maternelle Plaisance Tonnay Charente,ECOLE MATERNELLE PUBLIQUE,Public,17430,45.949767314647545,-0.8890498688048925
Ecole maternelle Pauline Kergomard Andilly,ECOLE MATERNELLE PUBLIQUE,Public,17230,46.25503211719125,-1.0200995716188335
Ecole primaire Poitevin Ecoyeux,ECOLE PRIMAIRE PUBLIQUE,Public,17770,45.82229969930859,-0.5040605410843505
Collège Les Salières,COLLEGE,Public,17410,46.193441772549434,-1.3553498375180597
Collège Pierre Loti,COLLEGE,Public,17304,45.93735608355306,-0.9632402607336481
Ecole primaire privée Saint Joseph,ECOLE PRIMAIRE PRIVEE,Privé,17005,46.16526637328506,-1.150394886425867
Ecole primaire privée Saint Joseph,ECOLE PRIMAIRE PRIVEE,Privé,17300,45.94190817032251,-0.9695194149615727
Ecole primaire privée Saint Louis Saint Pierre,ECOLE PRIMAIRE PRIVEE,Privé,17250,45.82950995681218,-0.8709096546321035
Ecole primaire privée Sainte Marie,ECOLE PRIMAIRE PRIVEE,Privé,17800,45.580397460235616,-0.5451602156151707
Ecole primaire La Couarde,ECOLE PRIMAIRE PUBLIQUE,Public,17670,46.19564464852396,-1.4237404529041058
Collège Georges Texier,COLLEGE,Public,17415,45.95032322064579,-0.527708129773837
Collège Emile Zola,COLLEGE,Public,17200,45.61732023747109,-1.0108099049020165
Ecole maternelle Plateau d'Archiac Tonnay Charente,ECOLE MATERNELLE PUBLIQUE,Public,17430,45.947034945605516,-0.9100903061102461
Ecole élémentaire La Jarne,ECOLE ELEMENTAIRE PUBLIQUE,Public,17220,46.12999004301284,-1.0698298280102776
Ecole primaire Port d'Envaux,ECOLE PRIMAIRE PUBLIQUE,Public,17350,45.83519962130025,-0.6800300535686071
Ecole primaire des enfants du marais St Hippolyte,ECOLE PRIMAIRE PUBLIQUE,Public,17430,45.91767707715882,-0.8903100355574407
Ecole élémentaire La Gallissonnière Rochefort,ECOLE ELEMENTAIRE PUBLIQUE,Public,17300,45.94485277379736,-0.9820902098322812
Collège Eugène Fromentin,COLLEGE,Public,17001,46.16406934771936,-1.1508999260257209
Ecole maternelle du logis Le Gua,ECOLE MATERNELLE PUBLIQUE,Public,17600,45.72594182774638,-0.9434595528457835
Ecole élémentaire Pierre de Ronsard Chaniers,ECOLE PRIMAIRE,Public,17610,45.7184218692549,-0.5573405806379101
Ecole élémentaire Paul Laidet le Bois Plage en Ré,ECOLE ELEMENTAIRE PUBLIQUE,Public,17580,46.182721624861664,-1.3905699071882387
Maison Familiale Rurale de Saint-Denis-du-Pin,MAISON FAMILIALE RURALE,Privé,17400,45.976023785384285,-0.5140295357734636
Maison Familiale Rurale de Chevanceaux - services,MAISON FAMILIALE RURALE,Privé,17210,45.30013829927163,-0.2357595632721883
Ecole primaire Salles sur Mer,ECOLE PRIMAIRE PUBLIQUE,Public,17220,46.10521901985547,-1.0574201087455755
Collège de l'Atlantique,COLLEGE,Public,17440,46.1328565980302,-1.1245935126948376
Ecole élémentaire Henri Matisse Tonnay Boutonne,ECOLE PRIMAIRE,Public,17380,45.96828108475089,-0.7144905391196483
Lycée Polyvalent Hôtelier du Parc de la Francophonie,LYCEE POLYVALENT,Public,17030,46.142826356033375,-1.1631596976867147
Ecole maternelle St Genis de Saintonge,ECOLE MATERNELLE PUBLIQUE,Public,17240,45.48135940299685,-0.5682995984254459
Ecole maternelle St Rogatien,ECOLE MATERNELLE PUBLIQUE,Public,17220,46.15009935080976,-1.0695800723168278
Ecole élémentaire St Sauveur d'Aunis,ECOLE PRIMAIRE,Public,17540,46.21862493251915,-0.8849002389588717
"Ecole supérieure de Beauté, Bien-Etre et Santé Silvya Terrade La Rochelle",ECOLE D'ESTHETIQUE ET DE COIFFURE,Privé,17000,46.15476962776202,-1.1454014075221994
Ecole primaire privée hors contrat Montessori by the sea,ECOLE ELEMENTAIRE PRIVEE HORS CONTRAT,Privé,17000,46.16088420524424,-1.1810093885713637
Ecole élémentaire privée hors contrat Ecole démocratique Respire,ECOLE ELEMENTAIRE PRIVEE HORS CONTRAT,Privé,17220,46.12794469344673,-1.0065504686866344
Ecole élémentaire privée hors contrat Notre Ecole Aternative - NEA,ECOLE ELEMENTAIRE PRIVEE HORS CONTRAT,Privé,17870,45.99310474260349,-0.9308650112302517
Collège privé hors contrat Parle moi,ECOLE SECONDAIRE PRIVEE,Privé,17220,46.16824599256113,-1.0221232881163225
Ecole élémentaire privée hors contrat La Clé des Champs,ECOLE ELEMENTAIRE LA CLE DES CHAMPS,Privé,17380,46.017433580319384,-0.6223791381956203
Ecole d'enseignement technique de l'armée de l'air et de l'espace 722 de Saintes,ECOLE D'ENSEIGNEMENT TECHNIQUE,Public,17136,45.44423810394464,-0.28864026869563486
Collège Arlette Guirado,COLLEGE,Public,17520,45.520087392310856,-0.30360587394045113
Collège Beauregard,COLLEGE,Public,17770,45.777579916244555,-0.4141301101797335
Collège Léopold Dussaigne,COLLEGE,Public,17502,45.438578382053585,-0.4354894199665281
Collège de La Trézence,COLLEGE,Public,17330,46.04491124298089,-0.5061998617387831
Section d'enseignement général et professionnel adapté du Collège Hélène de Fonsèque,SEGPA,Public,17700,46.108158472241364,-0.7433499914202069
Lycée général et technologique Jean Dautet,LYCEE GENERAL ET TECHNOLOGIQUE,Public,17022,46.16449638564665,-1.1538198139000304
Collège Maurice Chastang,COLLEGE,Public,17240,45.48038971965097,-0.5671878574501774
Lycée polyvalent Louis Audouin Dubreuil,LYCEE POLYVALENT,Public,17415,45.95141409405907,-0.525909442089978
"Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics",LP LYCEE DES METIERS,Public,17415,45.949307618405655,-0.5131303182021854
Collège Pierre Mendès France,COLLEGE,Public,17000,46.16921315796229,-1.1787205497543571
